layer,ccs_loss,orientation_flipped,train_accuracy_raw,train_accuracy_flipped,train_orientation_accuracy,accuracy,silhouette,latent_vs_true,behavioral_vs_true,latent_vs_behavioral,polar_consistency_↓,abs_agreement_score,contradiction_idx_↓,pa_pair_count
0,0.19999998807907104,False,0.504,0.504,0.504,0.516,0.0,0.484,0.512,0.004,0.0,0.0,0.320036381483078,121
1,0.07184377312660217,True,0.467,0.533,0.533,0.544,0.2675797641277313,0.544,0.512,0.376,0.17629875242710114,0.11668971180915833,0.500646710395813,121
2,0.03557625785470009,False,0.565,0.435,0.565,0.58,0.11007741093635559,0.58,0.512,0.508,0.31495633721351624,0.33308476209640503,0.5880094766616821,121
3,0.021416818723082542,False,0.56,0.44,0.56,0.6,0.14403033256530762,0.6,0.512,0.504,0.26801952719688416,0.5086311101913452,0.6354372501373291,121
4,0.018177999183535576,True,0.432,0.568,0.568,0.6,0.1790955811738968,0.6,0.512,0.496,0.4281109571456909,0.5037276744842529,0.6579118371009827,121
5,0.018494561314582825,False,0.579,0.421,0.579,0.6,0.21050241589546204,0.6,0.512,0.504,0.39364951848983765,0.46096158027648926,0.6313269734382629,121
6,0.006134264171123505,False,0.54,0.46,0.54,0.556,0.3102192282676697,0.556,0.512,0.468,0.06841854006052017,0.00021185839432291687,0.12349263578653336,121
7,0.006118833553045988,False,0.54,0.46,0.54,0.56,0.32620665431022644,0.56,0.512,0.48,0.058679405599832535,0.00034896263969130814,0.12424113601446152,121
8,0.0042418865486979485,True,0.486,0.514,0.514,0.536,0.39409905672073364,0.536,0.512,0.448,0.10821903496980667,6.0348593251546845e-05,0.14072474837303162,121
9,0.00360658741556108,True,0.494,0.506,0.506,0.532,0.3565068542957306,0.532,0.512,0.436,0.12723609805107117,0.00016851055261213332,0.1601770520210266,121
10,0.0036952411755919456,True,0.499,0.501,0.501,0.528,0.3360515236854553,0.472,0.512,0.56,0.11969524621963501,0.0002395527990302071,0.16270340979099274,121
11,0.003573113586753607,False,0.504,0.496,0.504,0.532,0.339283287525177,0.532,0.512,0.444,0.12158798426389694,0.0001336123823421076,0.16259987652301788,121
12,0.0037765915039926767,False,0.503,0.497,0.503,0.532,0.3193341791629791,0.532,0.512,0.428,0.07023783773183823,0.0003197041223756969,0.183070108294487,121
13,0.003918698988854885,False,0.504,0.496,0.504,0.528,0.28219348192214966,0.528,0.512,0.416,0.10184754431247711,0.00021318635845091194,0.18804562091827393,121
14,0.004901756998151541,False,0.51,0.49,0.51,0.532,0.27852699160575867,0.532,0.512,0.404,0.054521344602108,0.00044002305367030203,0.18816153705120087,121
15,0.0049410630017519,True,0.491,0.509,0.509,0.528,0.2593022584915161,0.528,0.512,0.416,0.06424485146999359,0.0003920567687600851,0.18818724155426025,121
16,0.006265655625611544,False,0.514,0.486,0.514,0.528,0.22486568987369537,0.528,0.512,0.432,0.05538367107510567,0.0011567443143576384,0.1798553615808487,121
17,0.006525942590087652,False,0.516,0.484,0.516,0.532,0.2177663892507553,0.532,0.512,0.436,0.0932360514998436,0.001074724132195115,0.1758604496717453,121
18,0.00712085235863924,False,0.507,0.493,0.507,0.524,0.18939365446567535,0.476,0.512,0.548,0.03648320212960243,0.000636821670923382,0.156417116522789,121
19,0.008966526947915554,True,0.483,0.517,0.517,0.524,0.20140302181243896,0.524,0.512,0.428,0.061013832688331604,0.002754712011665106,0.21938548982143402,121
20,0.010086174122989178,True,0.493,0.507,0.507,0.52,0.18879124522209167,0.52,0.512,0.44,0.07963486015796661,0.004369854461401701,0.2298106998205185,121
21,0.010245729237794876,False,0.513,0.487,0.513,0.524,0.1864534169435501,0.524,0.512,0.436,0.05924927443265915,0.004694897681474686,0.2181628793478012,121
22,0.01218500081449747,True,0.476,0.524,0.524,0.54,0.18715444207191467,0.54,0.512,0.452,0.09639549255371094,0.005209131166338921,0.2298976331949234,121
23,0.014262094162404537,False,0.694,0.306,0.694,0.672,0.13486404716968536,0.672,0.512,0.496,0.31123286485671997,0.3239579200744629,0.5587271451950073,121
24,0.014189000241458416,True,0.303,0.697,0.697,0.656,0.130244180560112,0.656,0.512,0.488,0.2426791489124298,0.34426820278167725,0.5967947840690613,121
25,0.01375215221196413,True,0.316,0.684,0.684,0.652,0.12421750277280807,0.652,0.512,0.476,0.28870806097984314,0.4134114980697632,0.6102413535118103,121
26,0.017070407047867775,True,0.286,0.714,0.714,0.712,0.13159283995628357,0.712,0.512,0.56,0.2163945883512497,0.16846764087677002,0.4922846257686615,121
