model,dataset_size,layers,score_rows,test_size,behavioral_accuracy,latent_accuracy_last_layer,max_cpu_gpu_latent_difference,probe_reuse_verified,chat_behavioral_accuracy
gemma-2-2b,1244,27,33588,249,0.5341365461847389,0.8634538152610441,2.733520507725018e-07,True,
gemma-2-2b-it,1244,27,33588,249,0.5381526104417671,0.9598393574297188,2.9842559812198743e-07,True,0.5903614457831325
gemma-2-9b,1244,43,53492,249,0.46184738955823296,0.8795180722891566,3.1022644042533187e-07,True,
gemma-2-9b-it,1244,43,53492,249,0.8714859437751004,0.963855421686747,3.4456634523394314e-07,True,0.8835341365461847
deberta-hate-tuned,1244,25,31100,249,0.6666666666666666,0.8795180722891566,8.322268676974609e-07,True,
