dataset,model,layer,case_type,n,fraction,median_behavioral_alignment,median_latent_alignment,mean_behavioral_alignment,mean_latent_alignment,median_abs_alignment_gap,mean_abs_alignment_gap,median_signed_alignment_gap
not,gemma-2-2b-it,8,both_misaligned,274,0.2192,0.0011629999999999696,0.0011001349999999466,0.0013501624087591238,0.025380106277372264,0.0013832750000000171,0.025147341605839417,8.0884999999975e-05
not,gemma-2-2b-it,9,both_aligned,285,0.228,0.999495,0.9965997,0.9994052385614034,0.9690583658596492,0.002960399999999974,0.03051468435087719,-0.0028028599999999626
not,gemma-2-2b-it,9,aligned_output_misaligned_latent,340,0.272,0.9995554,0.007700881,0.9993563360588235,0.029227688044823532,0.99155315885,0.970128648014,-0.99155315885
not,gemma-2-2b-it,9,misaligned_output_aligned_latent,351,0.2808,0.0022363699999999875,0.994990046,0.0028993386324786337,0.982597648442735,0.9916845717,0.9796983098102563,0.9916845717
not,gemma-2-2b-it,9,both_misaligned,274,0.2192,0.0011629999999999696,0.0014142750000000204,0.001349606934306569,0.026737290474452554,0.0014556199999999908,0.02645741572992701,0.00023965499999994977
not,gemma-2-2b-it,10,both_aligned,288,0.2304,0.999495075,0.9950997699999999,0.9994069997916666,0.9672864198263889,0.004490914999999984,0.032258881909722224,-0.004490914999999984
not,gemma-2-2b-it,10,aligned_output_misaligned_latent,337,0.2696,0.9995548,0.008194743,0.999354395578635,0.03141255165756677,0.9908833636,0.9679418439210683,-0.9908833636
not,gemma-2-2b-it,10,misaligned_output_aligned_latent,347,0.2776,0.0022480000000000278,0.9950836166,0.0029191562536023063,0.9851916581371469,0.9917924782,0.9822725018835446,0.9917924782
not,gemma-2-2b-it,10,both_misaligned,278,0.2224,0.0011629999999999696,0.001583819999999958,0.001347168848920863,0.027603405179856117,0.0015805300000000244,0.027244537625899283,0.0005973850000000058
not,gemma-2-2b-it,11,both_aligned,287,0.2296,0.99949765,0.9938491,0.9994077311498257,0.9685301040766551,0.005589240000000051,0.03100457097560976,-0.005589240000000051
not,gemma-2-2b-it,11,aligned_output_misaligned_latent,338,0.2704,0.999553375,0.010668653,0.9993539302071006,0.0296790424202071,0.988356318,0.9696748877868936,-0.988356318
not,gemma-2-2b-it,11,misaligned_output_aligned_latent,348,0.2784,0.00224255000000001,0.99386715825,0.0029165685344827593,0.983984460191092,0.99053073025,0.9810678916566092,0.99053073025
not,gemma-2-2b-it,11,both_misaligned,277,0.2216,0.0011577999999999866,0.0019573000000000507,0.001344744801444043,0.028737629386281587,0.0015228000000000463,0.02823231512635379,0.0007155500000000092
not,gemma-2-2b-it,12,both_aligned,286,0.2288,0.999495075,0.9923275300000001,0.9994068073426573,0.9611490634965034,0.006995735000000003,0.03838394804195804,-0.006995735000000003
not,gemma-2-2b-it,12,aligned_output_misaligned_latent,339,0.2712,0.999556,0.009588897,0.9993548682890855,0.027621151983893803,0.989659191,0.9717337163051917,-0.989659191
