dataset,model,layer,fraction_both_aligned,fraction_aligned_output_misaligned_latent,fraction_misaligned_output_aligned_latent,fraction_both_misaligned
mixed,gemma-2-2b-it,0,0.5,0.0,0.5,0.0
mixed,gemma-2-2b-it,1,0.2877813504823151,0.21221864951768488,0.27733118971061094,0.22266881028938906
mixed,gemma-2-2b-it,2,0.3167202572347267,0.1832797427652733,0.3046623794212219,0.19533762057877813
mixed,gemma-2-2b-it,3,0.3408360128617363,0.15916398713826366,0.3022508038585209,0.1977491961414791
mixed,gemma-2-2b-it,4,0.34163987138263663,0.15836012861736334,0.2942122186495177,0.2057877813504823
mixed,gemma-2-2b-it,5,0.3496784565916399,0.15032154340836013,0.2909967845659164,0.2090032154340836
mixed,gemma-2-2b-it,6,0.38987138263665594,0.11012861736334405,0.27893890675241156,0.22106109324758844
mixed,gemma-2-2b-it,7,0.3946945337620579,0.10530546623794212,0.272508038585209,0.227491961414791
mixed,gemma-2-2b-it,8,0.39147909967845657,0.1085209003215434,0.2709003215434084,0.22909967845659163
mixed,gemma-2-2b-it,9,0.3946945337620579,0.10530546623794212,0.2765273311897106,0.22347266881028938
mixed,gemma-2-2b-it,10,0.39308681672025725,0.10691318327974277,0.27893890675241156,0.22106109324758844
mixed,gemma-2-2b-it,11,0.39067524115755625,0.10932475884244373,0.27813504823151125,0.22186495176848875
mixed,gemma-2-2b-it,12,0.3954983922829582,0.1045016077170418,0.27733118971061094,0.22266881028938906
mixed,gemma-2-2b-it,13,0.45819935691318325,0.04180064308681672,0.4959807073954984,0.0040192926045016075
mixed,gemma-2-2b-it,14,0.47266881028938906,0.027331189710610933,0.4967845659163987,0.003215434083601286
mixed,gemma-2-2b-it,15,0.4758842443729904,0.024115755627009645,0.4967845659163987,0.003215434083601286
mixed,gemma-2-2b-it,16,0.4766881028938907,0.023311897106109324,0.49758842443729906,0.002411575562700965
mixed,gemma-2-2b-it,17,0.4758842443729904,0.024115755627009645,0.49758842443729906,0.002411575562700965
mixed,gemma-2-2b-it,18,0.4758842443729904,0.024115755627009645,0.49758842443729906,0.002411575562700965
mixed,gemma-2-2b-it,19,0.4734726688102894,0.02652733118971061,0.49758842443729906,0.002411575562700965
mixed,gemma-2-2b-it,20,0.47508038585209006,0.02491961414790997,0.49758842443729906,0.002411575562700965
mixed,gemma-2-2b-it,21,0.4742765273311897,0.02572347266881029,0.49758842443729906,0.002411575562700965
mixed,gemma-2-2b-it,22,0.4766881028938907,0.023311897106109324,0.4967845659163987,0.003215434083601286
mixed,gemma-2-2b-it,23,0.47508038585209006,0.02491961414790997,0.49758842443729906,0.002411575562700965
mixed,gemma-2-2b-it,24,0.4742765273311897,0.02572347266881029,0.4967845659163987,0.003215434083601286
mixed,gemma-2-2b-it,25,0.4734726688102894,0.02652733118971061,0.4967845659163987,0.003215434083601286
mixed,gemma-2-2b-it,26,0.47266881028938906,0.027331189710610933,0.4959807073954984,0.0040192926045016075
