layer,ccs_loss,orientation_flipped,train_accuracy_raw,train_accuracy_flipped,train_orientation_accuracy,accuracy,silhouette,latent_vs_true,behavioral_vs_true,latent_vs_behavioral,polar_consistency_↓,abs_agreement_score,contradiction_idx_↓,pa_pair_count,model
13,0.1735715866088867,False,0.649,0.351,0.649,0.664,0.2686092555522918,0.664,0.62,0.476,0.0003795004158746,0.0043169958516955,0.336370974779129,121,deberta-hate-tuned
14,0.1309425234794616,False,0.555,0.445,0.555,0.532,0.3446635007858276,0.532,0.62,0.472,0.0114704314619302,0.0129989963024854,0.3361574709415436,121,deberta-hate-tuned
15,0.1600075513124466,False,0.527,0.473,0.527,0.552,0.2379413992166519,0.552,0.62,0.54,0.0019683334976434,0.0192216727882623,0.3558229804039001,121,deberta-hate-tuned
16,0.1234523802995681,True,0.317,0.683,0.683,0.724,0.2518499791622162,0.724,0.62,0.624,0.0267176069319248,0.0452541001141071,0.3882740139961242,121,deberta-hate-tuned
17,0.1563269793987274,True,0.333,0.667,0.667,0.72,0.1747220009565353,0.72,0.62,0.596,-0.0064246021211147,0.0174554251134395,0.3581512570381164,121,deberta-hate-tuned
18,0.1659804135560989,False,0.698,0.302,0.698,0.728,0.1439940929412841,0.728,0.62,0.564,0.0027803864795714,0.0068118507042527,0.3421748578548431,121,deberta-hate-tuned
19,0.0585475265979766,True,0.327,0.673,0.673,0.6799999999999999,0.1917227059602737,0.68,0.62,0.628,0.1594466567039489,0.2950975298881531,0.5229576230049133,121,deberta-hate-tuned
20,0.0497485175728797,True,0.063,0.937,0.937,0.928,0.1812794208526611,0.928,0.62,0.684,0.0158284753561019,0.1074651330709457,0.4278737902641296,121,deberta-hate-tuned
21,0.0565826445817947,False,0.924,0.076,0.924,0.904,0.1738840490579605,0.904,0.62,0.652,0.049200814217329,0.0970528870820999,0.4257529377937317,121,deberta-hate-tuned
22,0.0528292432427406,True,0.077,0.923,0.923,0.904,0.1701678186655044,0.904,0.62,0.676,0.0541727356612682,0.0997972786426544,0.4369990825653076,121,deberta-hate-tuned
23,0.0579585842788219,True,0.27,0.73,0.73,0.732,0.2029149532318115,0.732,0.62,0.52,0.1260857582092285,0.1062625050544738,0.4098030626773834,121,deberta-hate-tuned
24,0.0605662129819393,False,0.898,0.102,0.898,0.868,0.1496149897575378,0.868,0.62,0.672,0.0757613554596901,0.0923095345497131,0.4023403227329254,121,deberta-hate-tuned
