layer,ccs_loss,orientation_flipped,train_accuracy_raw,train_accuracy_flipped,train_orientation_accuracy,accuracy,silhouette,latent_vs_true,behavioral_vs_true,latent_vs_behavioral,polar_consistency_↓,abs_agreement_score,contradiction_idx_↓,pa_pair_count
28,0.00254220818169415,True,0.042,0.958,0.958,0.94,0.37371230125427246,0.94,0.852,0.832,0.01833508536219597,0.12616610527038574,0.4772384762763977,121
29,0.0027263483498245478,False,0.956,0.044,0.956,0.936,0.36316192150115967,0.936,0.852,0.836,0.020409831777215004,0.09788361191749573,0.4188579320907593,121
30,0.002731633372604847,False,0.946,0.054,0.946,0.94,0.36976760625839233,0.94,0.852,0.84,0.022643132135272026,0.1105734258890152,0.42716866731643677,121
31,0.0025630658492445946,True,0.055,0.945,0.945,0.944,0.3710319697856903,0.944,0.852,0.836,0.01834777742624283,0.12980908155441284,0.44087061285972595,121
32,0.0028912853449583054,True,0.058,0.942,0.942,0.94,0.3577316999435425,0.94,0.852,0.832,0.03132784366607666,0.12279634922742844,0.4303852617740631,121
33,0.002780099166557193,True,0.061,0.939,0.939,0.94,0.35187503695487976,0.94,0.852,0.832,0.02846912480890751,0.13277667760849,0.45212677121162415,121
34,0.002518189139664173,True,0.059,0.941,0.941,0.94,0.34366118907928467,0.94,0.852,0.832,0.036452487111091614,0.13084661960601807,0.4550093412399292,121
35,0.0024275959003716707,True,0.059,0.941,0.941,0.9359999999999999,0.3368709087371826,0.936,0.852,0.828,0.03693456947803497,0.12969225645065308,0.45690324902534485,121
36,0.002474319189786911,True,0.06,0.94,0.94,0.9359999999999999,0.33497971296310425,0.936,0.852,0.836,0.028415439650416374,0.12390664219856262,0.4477095901966095,121
37,0.0023671439848840237,True,0.059,0.941,0.941,0.94,0.3304257392883301,0.94,0.852,0.84,0.04337155073881149,0.1318238079547882,0.45015403628349304,121
38,0.002142028184607625,True,0.061,0.939,0.939,0.9319999999999999,0.327271431684494,0.932,0.852,0.832,0.04094702750444412,0.13819578289985657,0.4808228611946106,121
39,0.0020716125145554543,True,0.055,0.945,0.945,0.928,0.3327292501926422,0.928,0.852,0.836,0.022762957960367203,0.14962664246559143,0.45491471886634827,121
40,0.002215601969510317,False,0.939,0.061,0.939,0.932,0.3336489498615265,0.932,0.852,0.832,0.04901890456676483,0.17409564554691315,0.4166199266910553,121
41,0.002962708007544279,True,0.062,0.938,0.938,0.9319999999999999,0.31902948021888733,0.932,0.852,0.832,0.03718745708465576,0.1285330057144165,0.47656160593032837,121
42,0.0014607635093852878,False,0.942,0.058,0.942,0.928,0.30401182174682617,0.928,0.852,0.836,0.03981867805123329,0.1766713410615921,0.4440311789512634,121
