layer,ccs_loss,orientation_flipped,train_accuracy_raw,train_accuracy_flipped,train_orientation_accuracy,accuracy,silhouette,latent_vs_true,behavioral_vs_true,latent_vs_behavioral,polar_consistency_↓,abs_agreement_score,contradiction_idx_↓,pa_pair_count
0,0.1997894048690796,False,0.504,0.502,0.504,0.516,0.0,0.484,0.852,0.352,0.0,0.0,0.3202061951160431,121
1,0.09564429521560669,False,0.508,0.492,0.508,0.572,0.30275285243988037,0.572,0.852,0.544,0.09965189546346664,0.09381745010614395,0.46990761160850525,121
2,0.04115933179855347,False,0.536,0.464,0.536,0.6,0.13293422758579254,0.6,0.852,0.612,0.24075736105442047,0.33765479922294617,0.5885630249977112,121
3,0.02911246009171009,True,0.424,0.576,0.576,0.5880000000000001,0.24741283059120178,0.588,0.852,0.592,0.33940333127975464,0.47916263341903687,0.6346947550773621,121
4,0.024913854897022247,False,0.575,0.425,0.575,0.604,0.23962536454200745,0.604,0.852,0.608,0.3894825577735901,0.4899338483810425,0.628308892250061,121
5,0.020543519407510757,False,0.584,0.416,0.584,0.62,0.18602481484413147,0.62,0.852,0.624,0.377206414937973,0.39846083521842957,0.6119017601013184,121
6,0.019093908369541168,True,0.427,0.573,0.573,0.596,0.19283033907413483,0.596,0.852,0.616,0.3276338577270508,0.5321212410926819,0.6495002508163452,121
7,0.004174596630036831,False,0.542,0.458,0.542,0.548,0.2538876235485077,0.548,0.852,0.584,0.04872909188270569,0.0007488028495572507,0.10137967020273209,121
8,0.003211233066394925,True,0.462,0.538,0.538,0.548,0.519807755947113,0.548,0.852,0.584,0.05994218587875366,0.00018364263814873993,0.09424161165952682,121
9,0.0033115672413259745,False,0.536,0.464,0.536,0.548,0.5037659406661987,0.548,0.852,0.584,0.0582057423889637,0.00023493386106565595,0.09557151049375534,121
10,0.0034605241380631924,False,0.53,0.47,0.53,0.548,0.5197569131851196,0.548,0.852,0.584,0.050344258546829224,0.00030620855977758765,0.10440301150083542,121
11,0.003585483878850937,True,0.483,0.517,0.517,0.536,0.5352633595466614,0.536,0.852,0.556,0.07387872785329819,5.46666924492456e-05,0.12392967194318771,121
12,0.003712115343660116,False,0.523,0.477,0.523,0.54,0.5485771298408508,0.54,0.852,0.568,0.06936891376972198,6.948168447706848e-05,0.12059056758880615,121
13,0.0032299587037414312,True,0.474,0.526,0.526,0.544,0.5181698203086853,0.544,0.852,0.564,0.06806173175573349,3.243608443881385e-05,0.11497370153665543,121
14,0.0027253797743469477,False,0.507,0.493,0.507,0.536,0.5164797306060791,0.536,0.852,0.564,0.08732131868600845,3.5538876545615494e-05,0.13745425641536713,121
15,0.00247644679620862,False,0.5,0.5,0.5,0.52,0.491090327501297,0.48,0.852,0.444,0.09811147302389145,5.2842300647171214e-05,0.13952599465847015,121
16,0.0026260109152644873,False,0.502,0.498,0.502,0.508,0.5256485939025879,0.508,0.852,0.552,0.08013497292995453,6.035566912032664e-05,0.13186466693878174,121
17,0.0024463965091854334,False,0.504,0.496,0.504,0.524,0.5019366145133972,0.524,0.852,0.552,0.0785800889134407,3.149917392875068e-05,0.1254439502954483,121
18,0.0021513502579182386,True,0.494,0.506,0.506,0.512,0.4629075229167938,0.488,0.852,0.452,0.08192824572324753,8.291257108794525e-05,0.14677681028842926,121
19,0.001968728844076395,False,0.507,0.493,0.507,0.516,0.3802627623081207,0.516,0.852,0.552,0.05394610017538071,0.00011200001608813182,0.14419856667518616,121
20,0.001659595174714923,False,0.962,0.038,0.962,0.96,0.24468867480754852,0.96,0.852,0.844,0.06661692261695862,0.09945698827505112,0.38158464431762695,121
21,0.0014690740499645472,True,0.043,0.957,0.957,0.956,0.30441078543663025,0.956,0.852,0.848,0.0838334709405899,0.11236923187971115,0.516828715801239,121
22,0.0015614648582413793,False,0.963,0.037,0.963,0.96,0.3344964385032654,0.96,0.852,0.852,0.03342263028025627,0.12747476994991302,0.40189772844314575,121
23,0.0020007616840302944,False,0.958,0.042,0.958,0.956,0.3637557327747345,0.956,0.852,0.848,0.03761002793908119,0.15023554861545563,0.4148693382740021,121
24,0.002006553579121828,False,0.958,0.042,0.958,0.948,0.39997512102127075,0.948,0.852,0.84,0.014066009782254696,0.12977780401706696,0.4075939953327179,121
25,0.002179123694077134,False,0.956,0.044,0.956,0.948,0.4004914462566376,0.948,0.852,0.84,0.04355762526392937,0.13385440409183502,0.4235650599002838,121
26,0.0020248794462531805,True,0.042,0.958,0.958,0.948,0.38945573568344116,0.948,0.852,0.84,0.03679395839571953,0.11297991871833801,0.4635901153087616,121
27,0.0020755156874656677,False,0.957,0.043,0.957,0.936,0.3810940384864807,0.936,0.852,0.828,0.038752857595682144,0.12315966188907623,0.40989887714385986,121
