dataset,model,layer,case_type,n,fraction,median_behavioral_alignment,median_latent_alignment,mean_behavioral_alignment,mean_latent_alignment,median_abs_alignment_gap,mean_abs_alignment_gap,median_signed_alignment_gap
not,gemma-2-2b,15,misaligned_output_aligned_latent,359,0.2872,0.4049256,0.992062449,0.40732428626740946,0.9761749735452925,0.581360641,0.568850687277883,0.581360641
not,gemma-2-2b,15,both_misaligned,265,0.212,0.42239475000000004,0.0024699999999999722,0.4197993806415094,0.03914356073509434,0.40491493999999995,0.38196864715169815,-0.40491493999999995
not,gemma-2-2b,16,both_aligned,291,0.2328,0.5956731,0.98408407,0.5947779965635739,0.940323542850172,0.37578940000000005,0.34643605398419247,0.37578940000000005
not,gemma-2-2b,16,aligned_output_misaligned_latent,335,0.268,0.5731003,0.019569764,0.5750497298507463,0.0482831460622388,0.5427462547,0.5267665837885075,-0.5427462547
not,gemma-2-2b,16,misaligned_output_aligned_latent,355,0.284,0.4047997,0.984570588,0.40710538422535214,0.9681816771460282,0.5730841670000001,0.5610762929206761,0.5730841670000001
not,gemma-2-2b,16,both_misaligned,269,0.2152,0.42239475000000004,0.004099850000000016,0.41990276297397766,0.0391976625,0.40291179999999993,0.38123652999070634,-0.40291179999999993
not,gemma-2-2b,17,both_aligned,296,0.2368,0.5945885,0.9810006,0.5944115115878379,0.9343500602283783,0.37328335,0.34153536424864867,0.37328335
not,gemma-2-2b,17,aligned_output_misaligned_latent,330,0.264,0.5730504000000001,0.02041329,0.5750795426363636,0.051474673793666666,0.5414597025,0.523604868842697,-0.5414597025
not,gemma-2-2b,17,misaligned_output_aligned_latent,353,0.2824,0.4049256,0.98466772,0.4072097752407932,0.966052027816374,0.5719902800000001,0.5588422525755807,0.5719902800000001
not,gemma-2-2b,17,both_misaligned,271,0.2168,0.4220077,0.004750130000000019,0.4196723394095941,0.04013180398538746,0.39918726000000004,0.380700124058893,-0.39918726000000004
not,gemma-2-2b,18,both_aligned,338,0.2704,0.57614957,0.98000942,0.5767901420414201,0.9493198701399409,0.39291602000000003,0.3735345969742604,0.39291602000000003
not,gemma-2-2b,18,aligned_output_misaligned_latent,288,0.2304,0.5938062,0.030638478500000003,0.5929409322569444,0.07132609713243056,0.5551835635,0.5216148351245139,-0.5551835635
not,gemma-2-2b,18,misaligned_output_aligned_latent,288,0.2304,0.42453715000000003,0.9915925365,0.42198996479166667,0.9523819052940625,0.5572523294999999,0.5303919405023958,0.5572523294999999
not,gemma-2-2b,18,both_misaligned,336,0.2688,0.40185355,0.019150500000000015,0.40459269279761906,0.04155241844345239,0.37581460499999997,0.3634972544732143,-0.37581460499999997
not,gemma-2-2b,19,both_aligned,308,0.2464,0.5957987499999999,0.9723708,0.5957354403246753,0.9398321935646103,0.36575394,0.34409675323993505,0.36575394
not,gemma-2-2b,19,aligned_output_misaligned_latent,318,0.2544,0.570058345,0.021803259999999998,0.5730677386163522,0.06381994072477988,0.5334266477,0.5092477978915723,-0.5334266477
not,gemma-2-2b,19,misaligned_output_aligned_latent,340,0.272,0.40608087,0.97391653,0.4081284023529412,0.9430776177763236,0.5499952295,0.5349492154233824,0.5499952295
not,gemma-2-2b,19,both_misaligned,284,0.2272,0.419643325,0.011332315000000037,0.4180021050704225,0.05010214270929577,0.39262457000000006,0.3683677194738028,-0.39262457000000006
not,gemma-2-2b,20,both_aligned,309,0.2472,0.5967655,0.9659509,0.5961042100970874,0.933535739274628,0.35774083,0.33757837862737866,0.35774083
not,gemma-2-2b,20,aligned_output_misaligned_latent,317,0.2536,0.56976986,0.025723934,0.5726367683911673,0.07019284958996845,0.5319572069999999,0.5024439188011988,-0.5319572069999999
not,gemma-2-2b,20,misaligned_output_aligned_latent,328,0.2624,0.40597689,0.9717145565,0.40774971344512195,0.9374339065081403,0.5475515805,0.5296841930630183,0.5475515805
not,gemma-2-2b,20,both_misaligned,296,0.2368,0.419174235,0.013111750000000033,0.41802144807432434,0.059542536581216214,0.391206645,0.3602089495336487,-0.391206645
