model,best_layer,best_latent_accuracy,best_latent_behavioral_agreement,behavioral_accuracy,very_late_latent_accuracy,very_late_behavioral_accuracy,very_late_latent_behavioral_agreement,very_late_latent_predicted_harmful_rate
Gemma 2 9B IT,20,0.9799196787148594,0.8795180722891566,0.8835341365461847,0.963855421686747,0.8835341365461847,0.8634538152610441,0.5109326193663544
Gemma 2 2B IT,16,0.9678714859437751,0.5742971887550201,0.5903614457831325,0.9622489959839357,0.5903614457831325,0.5751004016064257,0.5148594377510041
DeBERTa hate-tuned,20,0.963855421686747,0.7028112449799196,0.6666666666666666,0.9108433734939758,0.6666666666666666,0.6899598393574298,0.4779116465863454
Gemma 2 9B,26,0.963855421686747,0.4979919678714859,0.46184738955823296,0.8875502008032128,0.46184738955823296,0.46095493083444894,0.5390450691655511
Gemma 2 2B,21,0.8875502008032129,0.4939759036144578,0.5341365461847389,0.8626506024096386,0.5341365461847389,0.49638554216867464,0.5004016064257029
