dataset,model,layer,case_type,n,fraction,median_behavioral_alignment,median_latent_alignment,mean_behavioral_alignment,mean_latent_alignment,median_abs_alignment_gap,mean_abs_alignment_gap,median_signed_alignment_gap
mixed,gemma-2-2b,0,both_aligned,616,0.49517684887459806,0.57580656,0.5,0.5769500542857143,0.5,0.07580655999999997,0.07695005428571429,-0.07580655999999997
mixed,gemma-2-2b,0,aligned_output_misaligned_latent,0,0.0,,,,,,,
mixed,gemma-2-2b,0,misaligned_output_aligned_latent,628,0.5048231511254019,0.41629411499999996,0.5,0.4167520095859873,0.5,0.08370588500000004,0.08324799041401273,0.08370588500000004
mixed,gemma-2-2b,0,both_misaligned,0,0.0,,,,,,,
mixed,gemma-2-2b,1,both_aligned,422,0.3392282958199357,0.578026505,0.7443220500000001,0.5796293733175355,0.7396255684644549,0.15789342,0.17168805230331752,0.15789342
mixed,gemma-2-2b,1,aligned_output_misaligned_latent,194,0.15594855305466238,0.56980425,0.16865628,0.5711218448453608,0.2031237581943299,0.396305295,0.36799808665103095,-0.396305295
mixed,gemma-2-2b,1,misaligned_output_aligned_latent,329,0.2644694533762058,0.41949974999999995,0.7383713700000001,0.4200235053799392,0.7485558434528875,0.32235353999999994,0.32853233807294835,0.32235353999999994
mixed,gemma-2-2b,1,both_misaligned,299,0.24035369774919615,0.41317654000000004,0.32392323,0.41315227006688965,0.31269598881270905,0.10374592999999999,0.12925103001672242,-0.09033751000000001
mixed,gemma-2-2b,2,both_aligned,407,0.3271704180064309,0.5770923,0.8957837,0.5777674420638821,0.857361334990172,0.3074087,0.28298450653808355,0.3074087
mixed,gemma-2-2b,2,aligned_output_misaligned_latent,209,0.1680064308681672,0.57154244,0.10613525,0.5753582991387559,0.15391011390669856,0.458435477,0.4214481852320574,-0.458435477
mixed,gemma-2-2b,2,misaligned_output_aligned_latent,386,0.3102893890675241,0.414925515,0.91877875,0.4166347706735752,0.8622464078831605,0.486168852,0.4456116372095855,0.486168852
mixed,gemma-2-2b,2,both_misaligned,242,0.1945337620578778,0.41715297,0.14917865000000002,0.41693901049586773,0.19224334453719008,0.27023723499999996,0.24006900207438017,-0.27023723499999996
mixed,gemma-2-2b,3,both_aligned,421,0.3384244372990354,0.5780444,0.9606493,0.5778363004038005,0.9030111289950119,0.36000252,0.327235252724228,0.36000252
mixed,gemma-2-2b,3,aligned_output_misaligned_latent,195,0.1567524115755627,0.5710178,0.03809178,0.5750366716410257,0.09670209368091795,0.508278835,0.47833457796010764,-0.508278835
mixed,gemma-2-2b,3,misaligned_output_aligned_latent,364,0.29260450160771706,0.41620099499999996,0.9731852409999999,0.4173303876648352,0.9230330043891757,0.5359752566,0.5057026167243405,0.5359752566
mixed,gemma-2-2b,3,both_misaligned,264,0.21221864951768488,0.41634788,0.1030704,0.4159545489015151,0.15466679332575758,0.29984032,0.26923154951515155,-0.29984032
mixed,gemma-2-2b,4,both_aligned,432,0.34726688102893893,0.576238085,0.96310807,0.5771274415277778,0.899313984869051,0.37271768,0.32555879033201385,0.37271768
mixed,gemma-2-2b,4,aligned_output_misaligned_latent,184,0.14790996784565916,0.5746587000000001,0.06947188,0.5765335798913044,0.11444891768004348,0.49190447049999997,0.4620846622112609,-0.49190447049999997
mixed,gemma-2-2b,4,misaligned_output_aligned_latent,387,0.31109324758842444,0.41397629999999996,0.97636557,0.41712318018087857,0.9223867601034496,0.5420329684,0.5052635799225711,0.5420329684
mixed,gemma-2-2b,4,both_misaligned,241,0.1937299035369775,0.41866349999999997,0.11153199999999996,0.41615598045643154,0.1482175206406639,0.3106979999999999,0.27926856064564315,-0.3106979999999999
mixed,gemma-2-2b,5,both_aligned,432,0.34726688102893893,0.5768760799999999,0.9649154799999999,0.5777237220601852,0.9058084208714676,0.37639428,0.33051897191313423,0.37639428
mixed,gemma-2-2b,5,aligned_output_misaligned_latent,184,0.14790996784565916,0.5714228450000001,0.055146846,0.5751336169021739,0.10600992291522064,0.50953755,0.4691236939869533,-0.50953755
mixed,gemma-2-2b,5,misaligned_output_aligned_latent,371,0.2982315112540193,0.41529757,0.975375907,0.41694603339622643,0.925385313114006,0.541648315,0.5084392797177796,0.541648315
mixed,gemma-2-2b,5,both_misaligned,257,0.20659163987138263,0.41714764000000004,0.09701400000000004,0.4164719207392996,0.157308785,0.31219191,0.2702134016536965,-0.31219191
mixed,gemma-2-2b,6,both_aligned,478,0.3842443729903537,0.5752130799999999,0.9781168499999999,0.5770679475313808,0.9590431629358368,0.39435032,0.3822282608437866,0.39435032
mixed,gemma-2-2b,6,aligned_output_misaligned_latent,138,0.11093247588424437,0.5785178550000001,0.0113448865,0.5765416994202899,0.04094303962210145,0.5557746004999999,0.5355986597981884,-0.5557746004999999
mixed,gemma-2-2b,6,misaligned_output_aligned_latent,348,0.2797427652733119,0.41808845,0.9985463941,0.4190075152586207,0.9718107275661,0.5679720943,0.5528032123074793,0.5679720943
